Frequency (Hz),Amplitude
0.0,9.540000000000006
976.5625,12.259106950078845
1953.125,6.575477008976925
2929.6875,6.452843632096325
3906.25,20.620687506651876
4882.8125,3.6686620714314624
5859.375,6.0154134800524
6835.9375,5.266392741607136
7812.5,13.689121324594584
8789.0625,2.683890010747701
9765.625,5.445713644678907
10742.1875,6.904377845915964
11718.75,6.42526168976573
12695.3125,11.457001989211818
13671.875,7.819032904142708
14648.4375,8.311034064042305
15625.0,10.021590755221856
16601.5625,17.018761390913493
17578.125,6.438647148407984
18554.6875,7.270727113057667
19531.25,5.323606971407559
20507.8125,7.353913647619317
21484.375,9.616779944321515
22460.9375,6.951599401445377
23437.5,13.157755796898586
24414.0625,2.2943191391226123
25390.625,4.5299645776825415
26367.1875,6.107813777077587
27343.75,14.438445525065271
28320.3125,11.06894568026825
29296.875,13.659441912879773
30273.4375,2.3594565873937783
31250.0,18.293787342398165
32226.5625,21.38742162276804
33203.125,14.780564896801494
34179.6875,12.342643894086475
35156.25,16.361687386862247
36132.8125,36.133035860065654
37109.375,15.245586695295538
38085.9375,7.741652171686803
39062.5,34.51230303662998
40039.0625,81.50570285834782
41015.625,104.72057771162969
41992.1875,383.42137832630243
42968.75,119.61055342614048
43945.3125,97.24985937977264
44921.875,44.772407972541274
45898.4375,4.718583303038279
46875.0,27.6572298853814
47851.5625,37.97327110124205
48828.125,17.44262234585777
49804.6875,10.56349055013782
50781.25,12.84225095140064
51757.8125,18.818138804601286
52734.375,5.863777226872533
53710.9375,7.299530154152217
54687.5,8.699578721652506
55664.0625,16.249948386198035
56640.625,9.723504637508249
57617.1875,2.134337836820735
58593.75,12.36831766859579
59570.3125,15.58350589543324
60546.875,22.1920859867714
61523.4375,5.697795810152552
62500.0,10.5777220911815
63476.5625,2.4990948139833598
64453.125,11.051367612605928
65429.6875,6.684256109211795
66406.25,6.812456750897004
67382.8125,18.379704074532533
68359.375,20.0946438357995
69335.9375,5.916943401119476
70312.5,6.284229791315046
71289.0625,9.126400059605352
72265.625,15.46102426522752
73242.1875,5.999913685606033
74218.75,14.763092138559504
75195.3125,12.876560718264438
76171.875,15.770994939367037
77148.4375,13.14492446909207
78125.0,6.871282286912708
79101.5625,13.67802769408277
80078.125,22.492747719535163
81054.6875,17.768676608175017
82031.25,8.029413280106455
83007.8125,21.75312092856098
83984.375,20.39942353993777
84960.9375,27.66751153341236
85937.5,6.10240764669694
86914.0625,37.006750903277656
87890.625,82.29801509336097
88867.1875,119.43199358778922
89843.75,123.0565924117999
90820.3125,110.35053042789767
91796.875,87.17959720723056
92773.4375,39.33259940848673
93750.0,8.93306287607682
94726.5625,23.639505225855785
95703.125,27.650332328891402
96679.6875,15.60661759263882
97656.25,4.493630468760197
98632.8125,20.175053269529503
99609.375,6.6349633379979895
100585.9375,12.723819267238875
101562.5,5.539410113525621
102539.0625,6.571045155573528
103515.625,12.788730328366658
104492.1875,13.702228431410266
105468.75,5.097283405218277
106445.3125,10.709145717738728
107421.875,10.971627289722143
108398.4375,5.892678742333229
109375.0,1.1615111557012368
110351.5625,2.8067908133177375
111328.125,13.593001941289517
112304.6875,2.124599964494942
113281.25,9.77901305529231
114257.8125,8.08849551777156
115234.375,14.399251928093836
116210.9375,17.485321595132874
117187.5,16.583168127663384
